date,price
2019-04-01,30.979999542236328
2019-05-01,24.920000076293945
2019-06-01,27.219999313354492
2019-07-01,28.989999771118164
2019-08-01,34.41999816894531
2019-09-01,26.450000762939453
2019-10-01,25.139999389648438
2019-11-01,19.479999542236328
2019-12-01,18.639999389648438
2020-01-01,22.030000686645508
2020-02-01,19.5
2020-03-01,15.4399995803833
2020-04-01,20.65999984741211
2020-05-01,20.290000915527344
2020-06-01,22.170000076293945
2020-07-01,34.290000915527344
2020-08-01,36.790000915527344
2020-09-01,41.5099983215332
2020-10-01,58.95000076293945
2020-11-01,70.0199966430664
2020-12-01,65.9000015258789
2021-01-01,68.51000213623047
2021-02-01,80.58000183105469
2021-03-01,74.02999877929688
2021-04-01,66.37000274658203
2021-05-01,65.30000305175781
2021-06-01,78.94999694824219
2021-07-01,58.900001525878906
2021-08-01,55.56999969482422
2021-09-01,50.95000076293945
2021-10-01,44.63999938964844
2021-11-01,40.060001373291016
2021-12-01,36.349998474121094
2022-01-01,29.559999465942383
2022-02-01,26.75
2022-03-01,24.610000610351562
2022-04-01,20.520000457763672
2022-05-01,19.649999618530273
2022-06-01,18.15999984741211
2022-07-01,19.479999542236328
2022-08-01,23.040000915527344
2022-09-01,23.299999237060547
2022-10-01,24.600000381469727
2022-11-01,25.420000076293945
2022-12-01,24.280000686645508
2023-01-01,26.290000915527344
2023-02-01,25.110000610351562
2023-03-01,27.270000457763672
2023-04-01,23.0
2023-05-01,23.940000534057617
2023-06-01,27.34000015258789
2023-07-01,28.989999771118164
2023-08-01,27.489999771118164
2023-09-01,27.030000686645508
2023-10-01,29.8799991607666
2023-11-01,34.06999969482422
2023-12-01,37.040000915527344
2024-01-01,37.470001220703125
2024-02-01,36.70000076293945
2024-03-01,34.66999816894531
2024-04-01,33.45000076293945
2024-05-01,41.4900016784668
2024-06-01,44.06999969482422
2024-07-01,31.950000762939453
2024-08-01,32.040000915527344
2024-09-01,32.369998931884766
2024-10-01,31.790000915527344
2024-11-01,30.31999969482422
2024-12-01,29.0
2025-01-01,32.959999084472656
2025-02-01,36.97999954223633
2025-03-01,31.0
2025-04-01,25.31999969482422
2025-05-01,31.110000610351562
2025-06-01,35.86000061035156
2025-07-01,38.599998474121094
2025-08-01,36.630001068115234
2025-09-01,32.16999816894531
2025-10-01,33.099998474121094
2025-11-01,26.1200008392334
2025-12-01,25.889999389648438
2026-01-01,22.1299991607666
2026-02-01,17.1299991607666
2026-03-01,18.34000015258789
2026-04-01,20.270000457763672
