date,revenue,source
2022-09-30,32250300000.0,annual
2023-09-30,35975600000.0,annual
2024-09-30,36176200000.0,annual
2024-12-31,9397800000.0,quarterly
2025-03-31,8761600000.0,quarterly
2025-06-30,9456000000.0,quarterly
2025-09-30,9569000000.0,quarterly
2025-12-31,9915100000.0,quarterly
