date,revenue,source
2022-06-30,3582200000.0,annual
2023-06-30,2800300000.0,annual
2024-06-30,2700400000.0,annual
2024-12-31,674000000.0,quarterly
2025-03-31,624000000.0,quarterly
2025-06-30,606900000.0,quarterly
2025-09-30,550800000.0,quarterly
2025-12-31,656500000.0,quarterly
