date,price
2011-05-01,103.3641586303711
2011-06-01,101.1191177368164
2011-07-01,99.58751678466797
2011-08-01,94.11263275146484
2011-09-01,87.12850189208984
2011-10-01,97.1383056640625
2011-11-01,96.74354553222656
2011-12-01,97.1383056640625
2012-01-01,102.28765106201172
2012-02-01,106.72750854492188
2012-03-01,109.67961883544922
2012-04-01,109.42488861083984
2012-05-01,102.85328674316406
2012-06-01,106.47547149658203
2012-07-01,108.29328155517578
2012-08-01,111.00630187988281
2012-09-01,113.21602630615234
2012-10-01,111.74913787841797
2012-11-01,112.38157653808594
2012-12-01,112.58710479736328
2013-01-01,119.18983459472656
2013-02-01,120.71054077148438
2013-03-01,124.73933410644531
2013-04-01,127.70126342773438
2013-05-01,130.71629333496094
2013-06-01,128.2930908203125
2013-07-01,135.6368408203125
2013-08-01,131.56875610351562
2013-09-01,135.07403564453125
2013-10-01,142.01773071289062
2013-11-01,146.22686767578125
2013-12-01,149.20787048339844
2014-01-01,144.73013305664062
2014-02-01,151.31761169433594
2014-03-01,151.90243530273438
2014-04-01,153.63348388671875
2014-05-01,157.1987762451172
2014-06-01,159.67893981933594
2014-07-01,158.28810119628906
2014-08-01,164.5347137451172
2014-09-01,161.50979614257812
2014-10-01,166.08624267578125
2014-11-01,170.64892578125
2014-12-01,169.2817840576172
2015-01-01,165.1726837158203
2015-02-01,174.4562225341797
2015-03-01,170.953125
2015-04-01,173.40487670898438
2015-05-01,175.63418579101562
2015-06-01,171.2338104248047
2015-07-01,175.95347595214844
2015-08-01,165.22915649414062
2015-09-01,160.1804656982422
2015-10-01,174.70889282226562
2015-11-01,175.34751892089844
2015-12-01,171.29754638671875
2016-01-01,163.73794555664062
2016-02-01,163.6027374267578
2016-03-01,173.711669921875
2016-04-01,175.29580688476562
2016-05-01,178.27789306640625
2016-06-01,177.9720001220703
2016-07-01,185.4221649169922
2016-08-01,185.64422607421875
2016-09-01,184.72189331054688
2016-10-01,182.43626403808594
2016-11-01,189.15687561035156
2016-12-01,191.86062622070312
2017-01-01,196.44497680664062
2017-02-01,204.1636199951172
2017-03-01,203.53330993652344
2017-04-01,206.4478759765625
2017-05-01,209.3615264892578
2017-06-01,209.6736297607422
2017-07-01,215.02685546875
2017-08-01,215.65428161621094
2017-09-01,218.91314697265625
2017-10-01,225.18362426757812
2017-11-01,232.06658935546875
2017-12-01,233.68653869628906
2018-01-01,248.1188201904297
2018-02-01,239.09703063964844
2018-03-01,231.61563110351562
2018-04-01,233.74508666992188
2018-05-01,239.42721557617188
2018-06-01,239.7276153564453
2018-07-01,249.72512817382812
2018-08-01,257.69635009765625
2018-09-01,258.0602722167969
2018-10-01,241.31463623046875
2018-11-01,245.79087829589844
2018-12-01,222.8479766845703
2019-01-01,242.0960235595703
2019-02-01,249.9437255859375
2019-03-01,253.35183715820312
2019-04-01,264.8634338378906
2019-05-01,247.97283935546875
2019-06-01,263.9446105957031
2019-07-01,269.2383728027344
2019-08-01,264.7304382324219
2019-09-01,268.6410217285156
2019-10-01,275.84722900390625
2019-11-01,285.83251953125
2019-12-01,292.6983947753906
2020-01-01,294.0186462402344
2020-02-01,270.7423400878906
2020-03-01,235.54940795898438
2020-04-01,267.021240234375
2020-05-01,279.7435302734375
2020-06-01,283.457275390625
2020-07-01,301.4714660644531
2020-08-01,322.5132751464844
2020-09-01,309.19952392578125
2020-10-01,302.6968994140625
2020-11-01,335.6232604980469
2020-12-01,346.5802307128906
2021-01-01,344.5107116699219
2021-02-01,354.09002685546875
2021-03-01,368.95703125
2021-04-01,389.7510986328125
2021-05-01,392.3101806640625
2021-06-01,399.8007507324219
2021-07-01,410.9007873535156
2021-08-01,423.129150390625
2021-09-01,402.1207275390625
2021-10-01,431.7135925292969
2021-11-01,428.2448425292969
2021-12-01,446.4816589355469
2022-01-01,424.41949462890625
2022-02-01,411.8919372558594
2022-03-01,426.051513671875
2022-04-01,389.86480712890625
2022-05-01,390.7448425292969
2022-06-01,356.9817199707031
2022-07-01,391.5394287109375
2022-08-01,375.5638732910156
2022-09-01,339.4500732421875
2022-10-01,368.5467529296875
2022-11-01,389.03485107421875
2022-12-01,364.939697265625
2023-01-01,389.6709289550781
2023-02-01,379.87353515625
2023-03-01,392.4605712890625
2023-04-01,400.2518310546875
2023-05-01,402.099609375
2023-06-01,426.5709533691406
2023-07-01,442.1704406738281
2023-08-01,434.98431396484375
2023-09-01,412.8946533203125
2023-10-01,405.35614013671875
2023-11-01,442.3828430175781
2023-12-01,460.7120361328125
2024-01-01,469.947265625
2024-02-01,494.4723205566406
2024-03-01,509.0608215332031
2024-04-01,490.0536193847656
2024-05-01,514.8402709960938
2024-06-01,531.2899780273438
2024-07-01,539.4581909179688
2024-08-01,552.0629272460938
2024-09-01,561.9352416992188
2024-10-01,558.62890625
2024-11-01,591.9420166015625
2024-12-01,575.761962890625
2025-01-01,593.2147216796875
2025-02-01,585.6838989257812
2025-03-01,551.3914184570312
2025-04-01,548.2550048828125
2025-05-01,582.7100830078125
2025-06-01,610.8474731445312
2025-07-01,626.763671875
2025-08-01,639.6245727539062
2025-09-01,660.5768432617188
2025-10-01,678.1983642578125
2025-11-01,679.5208129882812
2025-12-01,678.05908203125
2026-01-01,690.0853271484375
2026-02-01,684.1216430664062
2026-03-01,648.5687866210938
2026-04-01,699.9400024414062
