date,price
2011-05-01,106.89683532714844
2011-06-01,101.35395050048828
2011-07-01,102.7856216430664
2011-08-01,88.50665283203125
2011-09-01,72.2217788696289
2011-10-01,83.67951965332031
2011-11-01,73.22240447998047
2011-12-01,69.34207916259766
2012-01-01,85.47563934326172
2012-02-01,88.2898178100586
2012-03-01,95.65545654296875
2012-04-01,88.56416320800781
2012-05-01,73.60478210449219
2012-06-01,74.08024597167969
2012-07-01,77.97514343261719
2012-08-01,81.70001983642578
2012-09-01,88.23758697509766
2012-10-01,94.99823760986328
2012-11-01,91.42774963378906
2012-12-01,99.43101501464844
2013-01-01,115.25454711914062
2013-02-01,116.73558044433594
2013-03-01,115.09082794189453
2013-04-01,114.24613952636719
2013-05-01,126.76812744140625
2013-06-01,118.67142486572266
2013-07-01,128.69866943359375
2013-08-01,119.36188507080078
2013-09-01,124.53865051269531
2013-10-01,126.62464904785156
2013-11-01,132.9850311279297
2013-12-01,139.9925537109375
2014-01-01,129.6151123046875
2014-02-01,131.45518493652344
2014-03-01,129.83868408203125
2014-04-01,126.64523315429688
2014-05-01,126.63729858398438
2014-06-01,133.13612365722656
2014-07-01,137.45359802246094
2014-08-01,142.41525268554688
2014-09-01,146.41419982910156
2014-10-01,151.53469848632812
2014-11-01,150.2746124267578
2014-12-01,155.09107971191406
2015-01-01,137.95211791992188
2015-02-01,151.85853576660156
2015-03-01,150.87442016601562
2015-04-01,157.6568603515625
2015-05-01,165.4988250732422
2015-06-01,168.10829162597656
2015-07-01,165.11317443847656
2015-08-01,151.8522491455078
2015-09-01,140.38600158691406
2015-10-01,151.48696899414062
2015-11-01,153.52296447753906
2015-12-01,146.11195373535156
2016-01-01,130.97630310058594
2016-02-01,121.22354888916016
2016-03-01,127.81621551513672
2016-04-01,133.62161254882812
2016-05-01,129.85174560546875
2016-06-01,121.47265625
2016-07-01,129.8363037109375
2016-08-01,138.543212890625
2016-09-01,132.36300659179688
2016-10-01,146.29119873046875
2016-11-01,179.983154296875
2016-12-01,197.1387481689453
2017-01-01,188.7987823486328
2017-02-01,204.22735595703125
2017-03-01,189.62240600585938
2017-04-01,184.7357635498047
2017-05-01,174.3845977783203
2017-06-01,183.78404235839844
2017-07-01,186.62481689453125
2017-08-01,185.3080291748047
2017-09-01,197.1185760498047
2017-10-01,201.51487731933594
2017-11-01,205.8031768798828
2017-12-01,212.3856201171875
2018-01-01,223.3317413330078
2018-02-01,219.19671630859375
2018-03-01,210.55735778808594
2018-04-01,199.2461395263672
2018-05-01,188.83786010742188
2018-06-01,185.05068969726562
2018-07-01,199.19566345214844
2018-08-01,199.51443481445312
2018-09-01,188.75274658203125
2018-10-01,189.7039031982422
2018-11-01,160.51222229003906
2018-12-01,141.1827850341797
2019-01-01,167.34873962402344
2019-02-01,166.24160766601562
2019-03-01,162.91616821289062
2019-04-01,174.73670959472656
2019-05-01,154.85479736328125
2019-06-01,174.39910888671875
2019-07-01,187.63673400878906
2019-08-01,173.81100463867188
2019-09-01,177.74949645996094
2019-10-01,183.02467346191406
2019-11-01,189.86083984375
2019-12-01,198.33218383789062
2020-01-01,205.07754516601562
2020-02-01,173.1794891357422
2020-03-01,134.16099548339844
2020-04-01,159.18116760253906
2020-05-01,170.52394104003906
2020-06-01,172.57667541503906
2020-07-01,172.8736114501953
2020-08-01,178.90789794921875
2020-09-01,176.56472778320312
2020-10-01,166.08343505859375
2020-11-01,202.5789794921875
2020-12-01,231.6856689453125
2021-01-01,239.53836059570312
2021-02-01,282.21307373046875
2021-03-01,288.8558044433594
2021-04-01,309.0128479003906
2021-05-01,329.9151611328125
2021-06-01,337.7118835449219
2021-07-01,333.57415771484375
2021-08-01,367.94781494140625
2021-09-01,338.01171875
2021-10-01,369.5926818847656
2021-11-01,340.6583557128906
2021-12-01,342.05316162109375
2022-01-01,318.80706787109375
2022-02-01,306.7713317871094
2022-03-01,296.7131042480469
2022-04-01,276.2108154296875
2022-05-01,295.5236511230469
2022-06-01,270.197265625
2022-07-01,303.2828369140625
2022-08-01,302.62786865234375
2022-09-01,268.5985107421875
2022-10-01,315.76483154296875
2022-11-01,353.9304504394531
2022-12-01,316.7930908203125
2023-01-01,337.48638916015625
2023-02-01,324.4227294921875
2023-03-01,301.7828063964844
2023-04-01,319.1171875
2023-05-01,300.9610290527344
2023-06-01,301.97930908203125
2023-07-01,333.1845703125
2023-08-01,306.8197021484375
2023-09-01,305.4696960449219
2023-10-01,286.6262512207031
2023-11-01,322.4344482421875
2023-12-01,367.1807861328125
2024-01-01,365.5056457519531
2024-02-01,370.302734375
2024-03-01,400.3800048828125
2024-04-01,409.0261535644531
2024-05-01,437.6007995605469
2024-06-01,436.1986999511719
2024-07-01,490.887451171875
2024-08-01,492.06396484375
2024-09-01,480.28826904296875
2024-10-01,502.289306640625
2024-11-01,590.3516845703125
2024-12-01,555.4779663085938
2025-01-01,624.3064575195312
2025-02-01,606.6514892578125
2025-03-01,535.2022094726562
2025-04-01,536.4367065429688
2025-05-01,588.2630004882812
2025-06-01,696.8413696289062
2025-07-01,712.4373168945312
2025-08-01,733.763427734375
2025-09-01,788.2730102539062
2025-10-01,781.3638916015625
2025-11-01,817.6619262695312
2025-12-01,870.0847778320312
2026-01-01,930.512939453125
2026-02-01,855.0700073242188
2026-03-01,841.5610961914062
2026-04-01,899.489990234375
