date,revenue,source
2022-12-31,5600000000.0,annual
2023-12-31,7060000000.0,annual
2024-12-31,2812000000.0,quarterly
2025-03-31,2360000000.0,quarterly
2025-06-30,2680000000.0,quarterly
2025-09-30,2844000000.0,quarterly
2025-12-31,3672000000.0,quarterly
