date,revenue,source
2022-12-31,81462000000.0,annual
2023-12-31,96773000000.0,annual
2024-12-31,25707000000.0,quarterly
2025-03-31,19335000000.0,quarterly
2025-06-30,22496000000.0,quarterly
2025-09-30,28095000000.0,quarterly
2025-12-31,24901000000.0,quarterly
