date,revenue,source
2023-01-31,26974000000.0,annual
2024-01-31,60922000000.0,annual
2025-01-31,39331000000.0,quarterly
2025-04-30,44062000000.0,quarterly
2025-07-31,46743000000.0,quarterly
2025-10-31,57006000000.0,quarterly
2026-01-31,68127000000.0,quarterly
