snapshot_date,n_universe,benchmark_ew_ret,near_critical_llm_ret,n_nc_llm,other_llm_ret,n_oth_llm,near_critical_heuristic_ret,n_nc_heuristic,stable_heuristic_ret,n_stable_heuristic
2020-12-31,880,0.2564509224599999,0.2954341556565887,59,0.18254792950557758,418,0.7973823732041737,87,0.1269991276371676,87
2021-01-31,883,0.19107873351945545,0.1573657640921972,59,0.2184389636946931,419,0.1273821543334044,88,0.18960040188101646,88
2021-02-28,885,0.16247204363052317,0.1269643042544205,60,0.19530718583664966,419,0.16177417782072792,88,0.2337120593149729,88
2021-03-31,886,0.08092737706870153,0.12274690577036146,61,0.08207324958054335,419,0.1439948811490344,88,0.05403078542754219,88
2021-04-30,890,0.09802443579604682,0.1854192059084078,62,0.09523787629974186,420,0.2626510824160284,88,0.08796201007250017,88
2021-05-31,892,0.04365775387900704,0.11730816167538892,62,0.05824238625423303,420,0.10428956566865763,88,0.026845995616967735,88
2021-06-30,897,0.05311287864882236,0.04603563184483616,62,0.10806788215101225,420,-0.15087445085748738,89,0.12326588135204622,89
2021-07-31,902,-0.02091290596292566,0.03429133919791118,62,0.023296530836850373,421,-0.23983525899379296,89,0.031046456196446665,89
2021-08-31,902,-0.03973295644640715,0.02658059340756574,62,-0.013846179856634392,421,-0.21352104757569468,89,-0.035317030811702906,89
2021-09-30,903,0.014282708666507262,0.05954403184045566,62,0.058434158611000896,421,-0.13582348768831884,90,0.10104023319225376,90
2021-10-31,904,-0.11399928480969197,-0.1284433757736247,62,-0.06022013413464912,421,-0.3416672510271101,90,0.005803564286881183,90
2021-11-30,907,-0.08514175417669835,-0.06854559401239231,63,-0.032187335415549606,421,-0.3738532743869149,90,0.010328714284444209,90
2021-12-31,908,-0.20523940286592293,-0.23027270038045955,63,-0.1678008865670049,421,-0.46094394754969326,90,-0.08404675507478279,90
2022-01-31,910,-0.07427374646612589,-0.1281020548516786,63,-0.050223592372267555,422,-0.2607202922676664,90,0.018077216666424954,90
2022-02-28,910,-0.09676791226228174,-0.15696703953177873,63,-0.058114046253195696,422,-0.24933811687343727,90,0.028474308078308423,90
2022-03-31,910,-0.19780698542093147,-0.25964246984598205,63,-0.16913439640523392,422,-0.3622304511325845,91,-0.11343138618473726,91
2022-04-30,911,-0.03374405508854402,-0.04425691331854496,63,-0.02653872266309557,422,-0.09071899067859984,91,-0.01760981866422528,91
2022-05-31,911,0.03388439217613314,-0.032186717359472865,63,0.036152030539865404,422,0.042968582308032625,91,0.027382656182707955,91
2022-06-30,911,0.07364081504627333,0.02055578861878043,63,0.07716433168469429,422,-0.06268944351690167,91,0.05246319776090751,91
2022-07-31,911,0.06677407001158184,0.0527015238165617,63,0.05167831311863802,422,0.018554576444215598,91,0.022639580324695742,91
2022-08-31,911,0.06240426565011469,0.030625060239421718,63,0.051692849323578365,422,-0.04498241194626931,91,0.025841830177932363,91
2022-09-30,911,0.16977485279783935,0.10398016283126044,63,0.16780112682987128,422,0.1408774464350066,91,0.08931848699542473,91
2022-10-31,913,0.06668313922942679,-0.057776498122517964,63,0.07582506568476838,422,0.06474689866160822,91,0.007833582881480627,91
2022-11-30,913,0.004797776341445067,-0.08523347946959517,63,-0.010474484826019793,422,0.25727221293366404,91,-0.0543315496469873,91
2022-12-31,914,0.16133011307775041,0.14052336367759044,63,0.13499613070503738,423,0.6033173141224966,91,0.023482763382337967,91
2023-01-31,914,0.08908677263298392,0.0922033552161253,63,0.09389356943548086,423,0.3495942216141914,91,0.022387944498129076,91
2023-02-28,914,0.06530600355172125,0.028859866187573722,63,0.09409605548974075,423,0.1754988430926182,91,0.01850845942222406,91
2023-03-31,915,0.012722671239024546,0.003509417688374842,63,0.03355250013309891,423,0.06872332131671473,91,-0.03244545472734598,91
2023-04-30,915,-0.028626457616646075,-0.035270117984226565,63,-0.006329075701664216,423,-0.0038325684820774185,91,-0.0413266073001563,91
2023-05-31,916,0.08356553890644629,0.07892148353783238,63,0.10384637164473873,424,0.08003533699983252,91,0.042916112946174007,91
2023-06-30,917,0.09495981817634329,0.10786467824396738,63,0.08759182459894305,424,0.18160574181240674,91,0.03436368964937834,91
2023-07-31,917,0.01928756358512072,-0.03424772711998505,63,0.04825088717620606,424,-0.07401908702217519,91,0.0417518116566294,91
2023-08-31,917,0.12430380452038953,0.06309115062459053,63,0.13450223423988558,424,0.24012430749632657,91,0.08030377358618432,91
2023-09-30,917,0.2326720505471177,0.18527140799636418,63,0.24008428500402798,424,0.35660453219766547,91,0.20150732683770176,91
2023-10-31,918,0.22115445808708395,0.208158622487123,63,0.22774998888325917,425,0.29942684940106296,91,0.15453995482889366,91
2023-11-30,918,0.14616639192677575,0.13803319061326028,63,0.1474791576175258,425,0.13386086269456718,91,0.11085099639334996,91
2023-12-31,918,0.03978117665872234,0.0013346813931459345,63,0.07999497104821049,425,-0.1014438486412576,91,0.08675058483108562,91
2024-01-31,923,0.12613515770504863,0.07399839284415534,64,0.1273687920016998,429,0.14604675492934738,91,0.12802966768524346,91
2024-02-29,923,0.08108497891877431,0.04900221392398463,64,0.10868951814610425,429,-0.04525979970211673,92,0.11591585489138481,92
2024-03-31,926,0.0690246877027349,0.04723947833820622,65,0.09089749936060502,430,-0.0016772489171223595,92,0.09436953433158175,92
2024-04-30,926,0.12830166771600704,0.10804123375320372,65,0.12990774873708694,430,0.13235800579217558,92,0.12996813521784645,92
2024-05-31,926,0.18505362450447674,0.1919057625578261,65,0.18329522375687451,430,0.23990932569361006,92,0.1791456128538999,92
2024-06-30,926,0.10910631762815956,0.14939031267851968,65,0.10103976312641197,430,0.11626768593937511,92,0.10768290944395054,92
2024-07-31,921,0.09934017417314243,0.16577441920247935,64,0.10042094410160868,426,0.11690548804400065,92,0.10403638639898624,92
2024-08-31,921,0.052556928872195846,0.11827536056130185,64,0.0542857241899209,426,0.11390647973886056,92,0.05440380415263086,92
2024-09-30,921,-0.035877247945759964,-0.02186543180784649,64,-0.016142030051029856,426,-0.12925597068326897,92,0.055961122943784164,92
2024-10-31,921,-0.04869916137957747,-0.058816058410756475,64,-0.01501818360144379,426,-0.09358379871947112,92,0.044380907046049536,92
2024-11-30,921,-0.08139900685916994,-0.07264370548086407,64,-0.03878570205868125,426,-0.15298966320989008,92,-0.017697478279814605,91
