snapshot_date,n_universe,benchmark_ew_ret,near_critical_llm_ret,n_nc_llm,other_llm_ret,n_oth_llm,near_critical_heuristic_ret,n_nc_heuristic,stable_heuristic_ret,n_stable_heuristic
2020-12-31,880,0.04807106837954344,0.09154780207318548,59,-0.009027970247015855,418,0.41630448890687344,87,-0.01723349265279642,87
2021-01-31,883,0.062449701034762294,0.100189295266799,59,0.04812390326901182,419,0.049963779317174356,88,-0.0010921634359839746,88
2021-02-28,885,0.0386768204189792,-0.00321260722774047,60,0.05937235044043518,419,-0.008076576885054245,88,0.07387422436218281,88
2021-03-31,886,0.04193095989640719,0.025092847484299532,61,0.0514096919243355,419,-0.02506553677669665,88,0.04457563012495162,88
2021-04-30,890,0.017341214117691878,0.03714677197399814,62,0.01510746543142709,420,0.033676200532101415,88,0.01589228044216677,88
2021-05-31,892,0.024101199236381182,0.03816511885479561,62,0.010125969084632404,420,0.15225744411470452,88,-0.00379700145220051,88
2021-06-30,897,-0.001183074315131909,-0.03352336998693952,62,0.020957184671275986,420,-0.06877938047807974,89,0.03784221031492983,89
2021-07-31,902,0.03250618883137845,0.04580207821722645,62,0.026378646299147674,421,0.07125911516234776,89,0.017509725542460077,89
2021-08-31,902,-0.034912012753169415,-0.004393440447829347,62,-0.041196619327366756,421,-0.051303405667418964,89,-0.05784932805605702,89
2021-09-30,903,0.05870999245151285,0.0930684746679735,62,0.06142226713993899,421,0.08147024183995615,90,0.07063177550655603,90
2021-10-31,904,-0.03282030293852629,-0.022073860683195435,62,-0.0213823470075707,421,-0.04587945713979371,90,-0.013084548464642453,90
2021-11-30,907,0.03538432646931858,-0.01229105537765209,63,0.0629715959076441,421,-0.08373794254183989,90,0.07885904038509232,90
2021-12-31,908,-0.07158697712864637,-0.05518540880606172,63,-0.053983276805179614,421,-0.21347180282692102,90,-0.035715296739486375,90
2022-01-31,910,0.005685206069546922,0.024292745066984752,63,-0.0165296377594472,422,0.0011300364841025207,90,-0.0037726626789263405,90
2022-02-28,910,0.01988698230754702,0.02098256231648132,63,0.03149887759520557,422,0.0016763211364464435,90,0.05405510829657294,90
2022-03-31,910,-0.09136699191437435,-0.13476072651090706,63,-0.06729304729124856,422,-0.25463804592400113,91,-0.01857016618882937,91
2022-04-30,911,-0.011136527737613944,0.014557605183320369,63,0.003259819057713278,422,-0.08855834652826568,91,0.014896777165369234,91
2022-05-31,911,-0.08587135746195147,-0.15064886404868452,63,-0.08200508394823355,422,-0.0624983740252649,91,-0.052512263344155055,91
2022-06-30,911,0.1040688552360641,0.10295142708295321,63,0.09286962067826832,422,0.16324071254131312,91,0.03461246056966635,91
2022-07-31,911,-0.021507539715070287,-0.009121631924596994,63,-0.02651324530039554,422,0.024303517153101546,91,-0.021566446759236423,91
2022-08-31,911,-0.09382448927153814,-0.0937359128225543,63,-0.09143960029875868,422,-0.10814815545002648,91,-0.06412202735128616,91
2022-09-30,911,0.09468208794100438,0.12188150886872816,63,0.092642644783607,422,0.029569430667951146,91,0.10656190380373894,91
2022-10-31,913,0.056053541168691906,0.031554884358195256,63,0.07014498894022674,422,0.011883822651421475,91,0.045042924132667035,91
2022-11-30,913,-0.05287722470345437,-0.11310136094106772,63,-0.047589264191322325,422,-0.09929017206589247,91,-0.029072717010065717,91
2022-12-31,914,0.11338866225562769,0.15999545787306352,63,0.07389188235032486,423,0.3102526561681735,91,0.008764571785090526,91
2023-01-31,914,-0.025370179328614413,-0.03480915671491605,63,-0.02742371775550032,423,-0.028866171786392357,91,-0.018009113159088378,91
2023-02-28,914,-0.005709635952836223,-0.024456205946370137,63,0.008240175174585309,423,0.02052931530296314,91,-0.0015813750125897067,91
2023-03-31,915,-0.005643148973986808,-0.0428876625278776,63,0.004406266071886782,423,-0.024384112831041145,91,0.018617452568923477,91
2023-04-30,915,-0.0111461856549326,-0.0005575240400805321,63,-0.015853251141276035,423,0.09707425348895969,91,-0.036255737592281186,91
2023-05-31,916,0.08440516378195845,0.09119802362295944,63,0.08122549335927007,424,0.10245630701500932,91,0.039881322804943324,91
2023-06-30,917,0.054947860933770236,0.10899761332499007,63,0.037674897217037304,424,0.16540120657984267,91,0.00463240609280155,91
2023-07-31,917,-0.041472603933768684,-0.06990306205759086,63,-0.025193372881564043,424,-0.144168150643472,91,-0.013962808341974898,91
2023-08-31,917,-0.058329947318586796,-0.05596215528287352,63,-0.04642079570412925,424,-0.11285421088041793,91,-0.0409318569524923,91
2023-09-30,917,-0.049769683221557566,-0.08375178975511932,63,-0.03532014023822775,424,-0.10554397967102966,91,-0.004951536662828234,91
2023-10-31,918,0.10669246983499424,0.11214478233115048,63,0.1006265579966539,425,0.19536180195568,91,0.06392373722511792,91
2023-11-30,918,0.10158321063686887,0.12528331892384284,63,0.06685264357602248,425,0.220147797444786,91,0.024861811541483703,91
2023-12-31,918,-0.024725792763054685,-0.05030337916160678,63,-0.0005883822728071991,425,-0.13886008409235195,91,0.01754588085727509,91
2024-01-31,923,0.058879990697846565,0.01886631536512365,64,0.05406480374686651,429,0.15347838365904404,91,0.03581621285825896,91
2024-02-29,923,0.03283253978197568,0.0478567550335232,64,0.042223496160070664,429,-0.02546724920261355,92,0.033469714325548815,92
2024-03-31,926,-0.059295040046797184,-0.05021598910986516,65,-0.04701935911140158,430,-0.14327698495432986,92,-0.0389376957335289,92
2024-04-30,926,0.042431601611697366,0.050214256998411,65,0.0290950815356967,430,0.11921827936714326,92,0.02608820000333959,92
2024-05-31,926,-0.0030634833570232435,-0.020057375716269248,65,0.003924697018154185,430,-0.01497453134046939,92,-0.0064993943117752735,92
2024-06-30,926,0.05888260181359146,0.03661422977350698,65,0.04429762444773283,430,0.08593534699842753,92,0.050829107187855785,92
2024-07-31,926,0.009823147366461093,-0.006123312110038299,65,0.03514638876612325,430,-0.05006854508727238,92,0.05330718808826945,92
2024-08-31,926,0.024376051141065704,0.04271473785128082,65,0.02579666579085112,430,0.04797528239696983,92,0.01531845495272404,92
2024-09-30,926,-0.007763256545486958,0.002129200448754777,65,-0.015999620534305457,430,-0.019195260811571732,92,-0.002812242423671781,92
2024-10-31,926,0.08975567228248284,0.10546151569753794,65,0.07210053629915972,430,0.15518531610767167,92,0.054595264880202936,92
2024-11-30,926,-0.06430805982671041,-0.043650635657730356,65,-0.06258544395250087,430,-0.06809217478709857,92,-0.06122630567605896,92
2024-12-31,921,0.04404572349889456,0.04641794316912406,64,0.037783389512666604,426,0.05995665722167754,91,0.034784887913076754,91
2025-01-31,921,-0.03077024264738077,-0.030577337069880785,64,-0.001940444792412404,426,-0.0839711464192467,92,0.030594436070324468,91
2025-02-28,922,-0.056441373122179506,-0.0773051067047274,64,-0.036741526901333366,427,-0.14249756068021857,92,-0.008785445781640993,91
2025-03-31,922,-0.019701662070861155,-0.03496770140408739,64,-0.016438476320751762,427,0.0208135038668883,92,-0.020779931249802683,92
2025-04-30,922,0.05131152519466004,0.08212254036007881,64,0.04729203169853294,427,0.0955931875138435,92,0.0041839992621430545,92
2025-05-31,922,0.046790455674844855,0.1028588649021306,64,0.036037073661064706,427,0.12408207549050272,92,-0.0053853367371577854,92
2025-06-30,922,0.013436376711068345,0.05761585382044689,64,0.010634564378483972,427,0.08405887866953055,92,-0.0004444638458095239,92
2025-07-31,922,0.04384480202012321,0.05683230515663188,64,0.02797115098449119,427,0.06778294095007754,92,0.01711833430262379,92
2025-08-31,922,0.01992096898149388,0.05120324102598023,64,0.012217260839342506,427,0.11094764099234297,92,0.017949428463548165,92
2025-09-30,922,-0.004901425335592266,0.014648235385821565,64,-0.00912023619953194,427,0.015616555671239403,92,-0.02706067814218432,92
2025-10-31,922,0.01605159879833379,0.009284148487267656,64,0.019437465471159418,427,-0.0583478850476166,92,0.03139041752259936,92
